Date,Open,High,Low,Close,Adj Close,Volume
2014-02-26,74.801430,75.000000,73.657143,73.907143,71.165123,69131286
2014-02-27,73.877144,75.540001,73.721428,75.381432,72.584717,75557321
2014-02-28,75.582855,76.107140,74.588570,75.177139,72.388031,93074653
2014-03-03,74.742859,75.807144,74.687141,75.394287,72.597115,59784494
2014-03-04,75.881432,76.091431,75.395714,75.891426,73.075775,64884834
2014-03-05,75.835716,76.392860,75.589996,76.051430,73.229858,50065519
2014-03-06,76.111427,76.348557,75.442856,75.821426,73.008408,46423111
2014-03-07,75.912857,75.997139,75.150002,75.777145,72.965759,55415241
2014-03-10,75.480003,76.190002,75.477013,75.845711,73.031784,44691430
2014-03-11,76.442856,76.962860,76.084282,76.584282,73.742943,70198849
2014-03-12,76.335716,76.764282,76.000000,76.658569,73.814468,50195460
2014-03-13,76.777145,77.094284,75.594284,75.807144,72.994644,64435609
2014-03-14,75.465714,75.841431,74.714287,74.955711,72.174805,59299492
2014-03-17,75.321426,75.709999,75.121429,75.248573,72.456787,49886074
2014-03-18,75.108574,75.995712,75.028587,75.914284,73.097794,52411863
2014-03-19,76.037140,76.605713,75.571426,75.894287,73.078575,56188958
2014-03-20,75.714287,76.095711,75.335716,75.528572,72.726425,52099537
2014-03-21,76.239998,76.250000,75.190002,76.124283,73.300034,93612169
2014-03-24,76.892860,77.214287,76.437141,77.027145,74.169373,88924871
2014-03-25,77.320000,77.964287,77.084282,77.855713,74.967201,70573356
2014-03-26,78.158569,78.428574,76.980003,77.111427,74.250549,74942224
2014-03-27,77.108574,77.357140,76.445724,76.779999,73.931389,55507676
2014-03-28,76.815712,76.991417,76.321426,76.694283,73.848877,50141063
2014-03-31,77.032860,77.258568,76.561424,76.677139,73.832367,42167188
2014-04-01,76.842857,77.410004,76.681427,77.378571,74.507759,50189685
2014-04-02,77.482857,77.639999,77.180000,77.507141,74.631577,45104871
2014-04-03,77.381432,77.500000,76.805717,76.970001,74.114342,40648111
2014-04-04,77.142860,77.142860,75.797142,75.974281,73.155579,68812485
2014-04-07,75.462860,75.842857,74.555717,74.781425,72.006989,72462530
2014-04-08,75.010002,75.160004,74.100014,74.777145,72.002846,60971883
2014-04-09,74.685715,75.784286,74.574287,75.760002,72.949249,51542722
2014-04-10,75.814285,76.034286,74.738571,74.782860,72.008369,59912818
2014-04-11,74.168571,74.690002,73.877144,74.230003,71.476013,67975012
2014-04-14,74.541428,74.594284,73.887138,74.525711,71.760742,51445177
2014-04-15,74.279999,74.519997,73.047142,73.994270,71.249046,66622577
2014-04-16,74.035713,74.441429,73.447914,74.144287,71.393494,53732994
2014-04-17,74.285713,75.394287,74.171425,74.991425,72.209198,71106721
2014-04-21,75.040001,76.019997,74.851425,75.881432,73.066185,45668931
2014-04-22,75.470001,75.975143,75.214432,75.957001,73.138939,50664453
2014-04-23,75.577141,75.875717,74.921425,74.964287,72.183060,98735259
2014-04-24,81.194283,81.428574,80.104286,81.110001,78.100761,189978082
2014-04-25,80.585716,81.712860,80.565712,81.705711,78.674370,97568814
2014-04-28,81.795715,85.107140,81.792854,84.870003,81.721252,167371680
2014-04-29,84.824287,85.139999,84.215714,84.618568,81.479149,84344673
2014-04-30,84.662857,85.632858,84.257141,84.298569,81.171051,114220883
2014-05-01,84.571426,84.971428,83.765717,84.497139,81.362228,61052418
2014-05-02,84.698570,84.885712,84.244286,84.654282,81.513527,47878572
2014-05-05,84.304283,85.857140,84.285713,85.851425,82.666290,71766758
2014-05-06,85.945717,86.344269,84.915710,84.915710,81.765266,93641373
2014-05-07,85.014282,85.327141,83.961426,84.618568,81.479149,70715988
2014-05-08,84.035713,84.915710,83.771431,83.998573,80.994598,57574363
2014-05-09,83.515717,83.750000,82.904282,83.648926,80.657501,72899498
2014-05-12,83.921425,84.808571,83.914284,84.690002,81.661362,53324677
2014-05-13,84.571426,84.934288,84.385712,84.822861,81.789444,39934594
2014-05-14,84.632858,85.342857,84.534286,84.838570,81.804573,41600846
2014-05-15,84.957146,85.228569,84.005714,84.117142,81.108948,57711731
2014-05-16,84.115715,85.361427,83.628571,85.358574,82.306015,69091834
2014-05-19,85.375717,86.761429,85.332855,86.370003,83.281250,79439024
2014-05-20,86.358574,86.628571,85.818573,86.387138,83.297798,58708986
2014-05-21,86.285713,86.671425,86.008568,86.615715,83.518188,49249914
2014-05-22,86.657143,87.121429,86.300003,86.752853,83.650414,50218945
2014-05-23,86.750000,87.818474,86.638573,87.732857,84.595367,58052491
2014-05-27,87.984283,89.408569,87.947144,89.375717,86.179482,87216605
2014-05-28,89.441429,89.975716,89.111427,89.144287,85.956337,78921885
2014-05-29,89.714287,90.981430,89.681427,90.768570,87.522530,94118633
2014-05-30,91.139999,92.024284,89.842857,90.428574,87.194672,141005137
2014-06-02,90.571426,90.690002,88.928574,89.807144,86.595467,92337903
2014-06-03,89.781425,91.248573,89.750000,91.077141,87.820068,73231620
2014-06-04,91.040001,92.555717,90.872856,92.117142,88.822868,83870521
2014-06-05,92.321426,92.767128,91.801430,92.478569,89.171387,75951141
2014-06-06,92.857140,93.037140,92.067139,92.224281,88.926170,87620911
2014-06-09,92.690002,93.879997,91.750000,93.699997,90.349113,75414804
2014-06-10,94.639999,95.050003,93.570000,94.250000,90.879440,62777042
2014-06-11,94.129997,94.760002,93.470001,93.860001,90.503395,45681114
2014-06-12,94.040001,94.120003,91.900002,92.290001,88.989548,54748791
2014-06-13,92.180000,92.440002,90.879997,91.279999,88.015648,54525280
2014-06-16,91.580002,92.750000,91.449997,92.199997,88.902756,35561270
2014-06-17,92.400002,92.699997,91.800003,92.080002,88.787056,29726347
2014-06-18,92.260002,92.290001,91.349998,92.180000,88.883484,33514108
2014-06-19,92.260002,92.300003,91.338898,91.860001,88.574928,35527686
